id,x,y
Curitiba,-254.296,-492.711
São José dos Pinhais,-255.348,-492.064
Pinhais,-254.439,-491.925
Colombo,-252.925,-492.244
Araucária,-255.925,-494.081
Campina Grande do Sul,-253.056,-490.558
Piraquara,-254.433,-490.628
Campo Largo,-254.594,-495.292
Fazenda Rio Grande,-256.592,-493.086
Quatro Barras,-253.672,-490.769
Morretes,-254.764,-488.353
Antonina,-254.289,-487.128
Paranaguá,-255.208,-485.097
Matinhos,-258.175,-485.431
Lapa,-257.694,-497.158
Rio Branco do Sul,-251.883,-493.139
Tijucas do Sul,-259.328,-491.969
Mandirituba,-257.783,-493.275
Balsa Nova,-255.975,-496.389
Pontal do Paraná,-257.767,-485.133
